epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1756,0.95033,6.84438,0.01077,0.00437,0.86381,0.24054,0.16785,0.72582,6.17122,0.01125,0.000407801,0.000407801,0.000407801
2,119.807,1.05385,5.13378,0.01226,0.57934,0.24709,0.42111,0.28485,0.98462,5.33091,0.01412,0.000824379,0.000824379,0.000824379
3,170.958,1.1668,3.6742,0.0139,0.55062,0.50763,0.52737,0.35857,1.11284,1.89756,0.01891,0.0012406,0.0012406,0.0012406
4,221.141,1.19624,2.50131,0.01479,0.62093,0.51485,0.55482,0.35833,1.21263,1.75368,0.02124,0.00124878,0.00124878,0.00124878
5,271.284,1.20852,1.98244,0.01501,0.65063,0.54722,0.59092,0.39151,1.25659,1.65229,0.0206,0.00124783,0.00124783,0.00124783
6,321.555,1.19394,1.67347,0.015,0.75813,0.62117,0.73101,0.52704,1.0535,1.1372,0.01699,0.00124661,0.00124661,0.00124661
7,371.566,1.16373,1.49164,0.01436,0.66399,0.69216,0.73186,0.51312,1.05078,1.13468,0.01762,0.00124512,0.00124512,0.00124512
8,421.676,1.15756,1.41791,0.0141,0.63418,0.71775,0.73564,0.49985,1.13829,1.17754,0.01896,0.00124336,0.00124336,0.00124336
9,472.405,1.13755,1.3482,0.0141,0.75784,0.66088,0.772,0.55032,1.04818,1.1049,0.01749,0.00124134,0.00124134,0.00124134
10,522.684,1.13878,1.28776,0.01432,0.7625,0.72721,0.8051,0.57768,1.04897,0.95658,0.01802,0.00123904,0.00123904,0.00123904
11,573.289,1.12456,1.2172,0.01393,0.79478,0.69828,0.80653,0.55964,1.15006,0.96725,0.0198,0.00123648,0.00123648,0.00123648
12,623.614,1.12812,1.15338,0.01414,0.76944,0.75231,0.83722,0.59562,1.01755,0.88467,0.01788,0.00123365,0.00123365,0.00123365
13,674.003,1.08941,1.13905,0.01321,0.74421,0.73606,0.82419,0.60156,0.98045,0.91181,0.0169,0.00123056,0.00123056,0.00123056
14,723.94,1.0985,1.13506,0.01324,0.76907,0.74324,0.8146,0.59162,1.0261,0.92438,0.01707,0.00122721,0.00122721,0.00122721
15,774.422,1.10166,1.12514,0.01335,0.84855,0.75819,0.8572,0.63279,0.99624,0.79533,0.01673,0.00122359,0.00122359,0.00122359
16,824.739,1.08743,1.0661,0.01317,0.80531,0.76043,0.86814,0.64164,0.93839,0.8328,0.01498,0.00121972,0.00121972,0.00121972
17,875.171,1.08687,1.02363,0.01303,0.82129,0.75101,0.84974,0.62279,0.99337,0.80228,0.0163,0.00121558,0.00121558,0.00121558
18,925.524,1.05139,1.0301,0.0129,0.87426,0.76191,0.87932,0.66044,0.93289,0.74997,0.015,0.00121119,0.00121119,0.00121119
19,976.252,1.06786,1.04762,0.01298,0.8093,0.80287,0.8628,0.61312,1.01381,0.77334,0.01733,0.00120655,0.00120655,0.00120655
20,1026.63,1.07313,1.02023,0.01294,0.76756,0.7561,0.82232,0.60805,0.95082,0.87964,0.01576,0.00120165,0.00120165,0.00120165
21,1077.26,1.053,0.96108,0.01261,0.86087,0.79987,0.88659,0.66018,0.95515,0.6935,0.01599,0.00119651,0.00119651,0.00119651
