epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,50.7199,1.25682,4.91939,0.01663,0.7838,0.08639,0.29015,0.15713,1.59487,3.06766,0.01999,0.0261,0.0087,0.0261,0.0087,0.0261,0.0087,0.0261,0.0087
2,85.9806,1.49495,1.98161,0.02108,0.53198,0.49833,0.47258,0.25204,1.70362,2.39167,0.0223,0.0299967,0.00999891,0.0299967,0.00999891,0.0299967,0.00999891,0.0299967,0.00999891
3,121.611,1.50848,1.63462,0.02129,0.58899,0.47333,0.50993,0.20979,2.08099,2.0852,0.02768,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
4,154.926,1.48035,1.53389,0.02064,0.64898,0.63166,0.65644,0.38924,1.44912,1.69794,0.01795,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,188.634,1.45076,1.34312,0.01994,0.64695,0.53089,0.58366,0.3263,1.75389,1.73571,0.02173,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
