epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5018,0.61399,2.09847,0.37673,0.00018,0.2358,0.001,0.00067,0.30679,2.57646,0.19656,3.3156e-05,3.3156e-05,0.0668771
2,157.988,0.40116,1.96943,0.2045,0.02472,0.32977,0.0185,0.01053,0.23294,2.31828,0.15735,6.64731e-05,6.64731e-05,0.0335771
3,239.428,0.34892,1.75129,0.18363,0.28691,0.21938,0.04682,0.03452,0.20492,1.94676,0.14237,9.97252e-05,9.97252e-05,0.00027703
4,321.053,0.33611,1.43016,0.18893,0.25291,0.41545,0.2683,0.21098,0.22929,1.30393,0.18153,9.97803e-05,9.97803e-05,9.97803e-05
5,402.027,0.38758,0.90189,0.23355,0.74483,0.73276,0.74121,0.55796,0.28145,0.68895,0.23364,9.96097e-05,9.96097e-05,9.96097e-05
6,482.946,0.38767,0.70974,0.24246,0.78835,0.80217,0.82075,0.62756,0.26765,0.6753,0.23629,9.93906e-05,9.93906e-05,9.93906e-05
7,564.612,0.38051,0.66167,0.23593,0.85165,0.85701,0.86421,0.66892,0.26937,0.5458,0.23731,9.91232e-05,9.91232e-05,9.91232e-05
8,645.786,0.37288,0.61008,0.23604,0.83162,0.85362,0.86008,0.65845,0.26349,0.57647,0.23427,9.88079e-05,9.88079e-05,9.88079e-05
9,725.692,0.36286,0.59297,0.23361,0.87286,0.82321,0.87382,0.67864,0.26503,0.5587,0.23337,9.84449e-05,9.84449e-05,9.84449e-05
10,804.377,0.36043,0.5728,0.22664,0.86794,0.86301,0.89238,0.70238,0.26875,0.50324,0.24686,9.80345e-05,9.80345e-05,9.80345e-05
11,884.423,0.36124,0.55312,0.23276,0.87929,0.86069,0.88353,0.69731,0.26462,0.46921,0.2307,9.75773e-05,9.75773e-05,9.75773e-05
12,965.903,0.35035,0.53141,0.21803,0.90637,0.86376,0.90005,0.70613,0.26496,0.45491,0.23658,9.70736e-05,9.70736e-05,9.70736e-05
13,1047.62,0.35603,0.5435,0.21622,0.90056,0.86982,0.90737,0.72149,0.26246,0.42496,0.25334,9.65239e-05,9.65239e-05,9.65239e-05
14,1127.92,0.34641,0.5211,0.21829,0.89421,0.8495,0.90328,0.7155,0.26406,0.43714,0.24254,9.59289e-05,9.59289e-05,9.59289e-05
15,1207.97,0.34699,0.50518,0.21215,0.89987,0.8881,0.90781,0.72052,0.26618,0.44681,0.24931,9.52889e-05,9.52889e-05,9.52889e-05
16,1288.58,0.34386,0.49388,0.22023,0.89191,0.88775,0.90684,0.72135,0.25804,0.43683,0.23268,9.46048e-05,9.46048e-05,9.46048e-05
17,1368.89,0.33619,0.48296,0.20929,0.89182,0.87569,0.90397,0.71378,0.26068,0.4237,0.24514,9.38772e-05,9.38772e-05,9.38772e-05
18,1448.92,0.34077,0.47888,0.2115,0.914,0.90545,0.92092,0.72874,0.25424,0.40614,0.23658,9.31067e-05,9.31067e-05,9.31067e-05
19,1530.98,0.3294,0.46898,0.2051,0.89172,0.89093,0.90869,0.73404,0.25583,0.39619,0.24049,9.22942e-05,9.22942e-05,9.22942e-05
20,1611.66,0.33364,0.47273,0.2056,0.92107,0.88793,0.92279,0.73903,0.25901,0.37652,0.22917,9.14405e-05,9.14405e-05,9.14405e-05
