epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
21,1692.02,0.33674,0.46146,0.21306,0.9087,0.89611,0.91529,0.74668,0.24446,0.38465,0.21612,9.05463e-05,9.05463e-05,9.05463e-05
22,1773.27,0.32791,0.45526,0.19434,0.92371,0.91376,0.92623,0.74664,0.24469,0.42654,0.22745,8.96127e-05,8.96127e-05,8.96127e-05
23,1853.73,0.31817,0.45147,0.20019,0.92246,0.90083,0.9268,0.75494,0.25196,0.37568,0.23681,8.86404e-05,8.86404e-05,8.86404e-05
24,1934.4,0.32434,0.44579,0.20187,0.92187,0.89385,0.91745,0.74194,0.2478,0.39194,0.23448,8.76305e-05,8.76305e-05,8.76305e-05
25,2015.08,0.32778,0.45544,0.19969,0.91942,0.88793,0.91574,0.73806,0.2562,0.37648,0.25583,8.65839e-05,8.65839e-05,8.65839e-05
26,2095.67,0.31988,0.4444,0.20144,0.943,0.88703,0.9258,0.7446,0.2524,0.38694,0.24548,8.55018e-05,8.55018e-05,8.55018e-05
27,2176.5,0.31276,0.43235,0.19513,0.91576,0.8869,0.91819,0.73739,0.24642,0.40148,0.21666,8.43851e-05,8.43851e-05,8.43851e-05
28,2256.74,0.31455,0.43648,0.19305,0.93695,0.91211,0.94701,0.7695,0.23829,0.37241,0.23263,8.32349e-05,8.32349e-05,8.32349e-05
29,2337.11,0.31906,0.44167,0.1968,0.89956,0.91195,0.91137,0.73278,0.25121,0.39453,0.23186,8.20525e-05,8.20525e-05,8.20525e-05
30,2417.29,0.31287,0.42662,0.18789,0.91094,0.8987,0.93244,0.74913,0.25161,0.38983,0.23173,8.08389e-05,8.08389e-05,8.08389e-05
31,2497.78,0.30288,0.42532,0.18061,0.9066,0.90696,0.92597,0.73733,0.25642,0.38491,0.24023,7.95954e-05,7.95954e-05,7.95954e-05
32,2578.71,0.31261,0.42468,0.19421,0.92597,0.89909,0.92758,0.76449,0.23655,0.35746,0.22286,7.83231e-05,7.83231e-05,7.83231e-05
33,2658.98,0.30825,0.41732,0.18798,0.92486,0.91082,0.92654,0.74993,0.24949,0.37197,0.22182,7.70234e-05,7.70234e-05,7.70234e-05
34,2739.91,0.31595,0.41927,0.18679,0.94151,0.90892,0.93746,0.76016,0.23842,0.37161,0.22026,7.56976e-05,7.56976e-05,7.56976e-05
35,2820.56,0.29548,0.41537,0.18332,0.91801,0.89684,0.92365,0.74974,0.24434,0.37711,0.22256,7.43468e-05,7.43468e-05,7.43468e-05
36,2900.66,0.299,0.41853,0.17107,0.9151,0.89555,0.92775,0.75736,0.24197,0.36781,0.23088,7.29725e-05,7.29725e-05,7.29725e-05
37,2982.02,0.30503,0.40674,0.18452,0.92852,0.91125,0.92903,0.76377,0.23878,0.35786,0.22051,7.15761e-05,7.15761e-05,7.15761e-05
38,3062.68,0.29714,0.40253,0.17803,0.92096,0.91737,0.93219,0.76854,0.23668,0.3575,0.22136,7.01588e-05,7.01588e-05,7.01588e-05
39,3142.78,0.30647,0.4042,0.17932,0.94299,0.91224,0.94157,0.76541,0.24249,0.35535,0.23936,6.87222e-05,6.87222e-05,6.87222e-05
40,3222.55,0.29519,0.40488,0.1757,0.9174,0.91373,0.92503,0.73777,0.25999,0.36841,0.24821,6.72675e-05,6.72675e-05,6.72675e-05
41,3303.17,0.29859,0.39703,0.17592,0.91996,0.91623,0.93012,0.76625,0.23857,0.35453,0.22285,6.57963e-05,6.57963e-05,6.57963e-05
42,3384.19,0.29494,0.39628,0.17707,0.93184,0.90937,0.93294,0.76398,0.24001,0.34076,0.21926,6.43101e-05,6.43101e-05,6.43101e-05
43,3464.98,0.29671,0.3931,0.17131,0.92827,0.90848,0.93514,0.76569,0.239,0.35784,0.22087,6.28101e-05,6.28101e-05,6.28101e-05
44,3545.59,0.28598,0.40195,0.17148,0.92797,0.92188,0.93793,0.77673,0.23617,0.3567,0.21206,6.12981e-05,6.12981e-05,6.12981e-05
45,3625.64,0.28995,0.39102,0.17323,0.93946,0.90326,0.93247,0.7684,0.23538,0.34765,0.22168,5.97754e-05,5.97754e-05,5.97754e-05
46,3705.46,0.28536,0.39212,0.17123,0.93868,0.91424,0.93986,0.77004,0.23447,0.36254,0.22054,5.82435e-05,5.82435e-05,5.82435e-05
47,3785.4,0.28229,0.38502,0.17,0.92601,0.90043,0.92449,0.76012,0.23024,0.35888,0.2222,5.6704e-05,5.6704e-05,5.6704e-05
48,3865.95,0.28719,0.38844,0.17318,0.93501,0.90987,0.93295,0.76588,0.23838,0.35497,0.2291,5.51584e-05,5.51584e-05,5.51584e-05
49,3947.31,0.28769,0.39344,0.17222,0.93323,0.90991,0.93154,0.75907,0.23238,0.36352,0.22197,5.36081e-05,5.36081e-05,5.36081e-05
50,4027.65,0.28461,0.38448,0.17049,0.93704,0.90547,0.93376,0.76519,0.23219,0.36192,0.20998,5.20548e-05,5.20548e-05,5.20548e-05
51,4108.33,0.2808,0.37347,0.16266,0.9446,0.91447,0.93965,0.76735,0.23097,0.35223,0.22043,5.05e-05,5.05e-05,5.05e-05
52,4188.92,0.28198,0.38117,0.16229,0.93164,0.89513,0.92817,0.76445,0.23215,0.37059,0.22573,4.89452e-05,4.89452e-05,4.89452e-05
53,4269.39,0.28009,0.37096,0.15941,0.92053,0.90998,0.92476,0.75974,0.23623,0.36761,0.22511,4.73919e-05,4.73919e-05,4.73919e-05
54,4349.66,0.28249,0.37479,0.16868,0.93309,0.91217,0.93697,0.76581,0.23509,0.36213,0.22458,4.58416e-05,4.58416e-05,4.58416e-05
55,4430.92,0.2791,0.37398,0.16405,0.94436,0.91321,0.93593,0.77007,0.22951,0.35072,0.21799,4.4296e-05,4.4296e-05,4.4296e-05
56,4511.32,0.2767,0.36727,0.15813,0.94276,0.90883,0.92918,0.76224,0.23486,0.35654,0.2244,4.27565e-05,4.27565e-05,4.27565e-05
57,4592.71,0.2706,0.37057,0.1632,0.94452,0.9034,0.93671,0.76632,0.2352,0.36347,0.23299,4.12246e-05,4.12246e-05,4.12246e-05
58,4673.08,0.27624,0.36469,0.15907,0.90787,0.93615,0.93377,0.76401,0.2363,0.34743,0.23238,3.97019e-05,3.97019e-05,3.97019e-05
59,4753.38,0.28166,0.37158,0.1583,0.94199,0.91037,0.93493,0.76631,0.23302,0.35791,0.22218,3.81899e-05,3.81899e-05,3.81899e-05
60,4834.14,0.26937,0.35974,0.16103,0.9344,0.90708,0.93123,0.76707,0.22813,0.37136,0.2134,3.66899e-05,3.66899e-05,3.66899e-05
61,4915.32,0.27284,0.36647,0.15804,0.94458,0.90695,0.93483,0.76834,0.23106,0.35665,0.22101,3.52037e-05,3.52037e-05,3.52037e-05
62,4995.45,0.27365,0.3724,0.15832,0.95538,0.90277,0.93643,0.77206,0.22367,0.35029,0.20677,3.37325e-05,3.37325e-05,3.37325e-05
63,5075.7,0.27645,0.36813,0.15877,0.945,0.91775,0.94054,0.77104,0.23469,0.35002,0.22285,3.22778e-05,3.22778e-05,3.22778e-05
64,5156.68,0.26248,0.35869,0.15271,0.94559,0.91755,0.93697,0.76424,0.23164,0.33898,0.22162,3.08412e-05,3.08412e-05,3.08412e-05
65,5236.43,0.2626,0.36331,0.15147,0.93944,0.92986,0.94756,0.7746,0.23175,0.33739,0.22199,2.94239e-05,2.94239e-05,2.94239e-05
66,5316.85,0.27145,0.36513,0.15901,0.93148,0.93434,0.94244,0.77756,0.23073,0.33064,0.22561,2.80275e-05,2.80275e-05,2.80275e-05
67,5398.32,0.26525,0.35696,0.15455,0.93526,0.93087,0.94266,0.78058,0.23086,0.33954,0.21851,2.66532e-05,2.66532e-05,2.66532e-05
68,5479.52,0.26533,0.35675,0.15457,0.94,0.91979,0.94127,0.77867,0.22574,0.34036,0.21381,2.53024e-05,2.53024e-05,2.53024e-05
69,5559.98,0.26789,0.35025,0.15052,0.9497,0.91653,0.93842,0.77247,0.23137,0.34394,0.21524,2.39766e-05,2.39766e-05,2.39766e-05
70,5641.73,0.26574,0.35163,0.15065,0.94381,0.92087,0.93569,0.77312,0.22284,0.35234,0.20551,2.26769e-05,2.26769e-05,2.26769e-05
71,5722.61,0.26043,0.35355,0.15392,0.9374,0.91536,0.93216,0.77106,0.22537,0.34133,0.21262,2.14046e-05,2.14046e-05,2.14046e-05
72,5803.76,0.26804,0.34855,0.15004,0.93159,0.93638,0.93957,0.77678,0.23009,0.33768,0.21851,2.01611e-05,2.01611e-05,2.01611e-05
73,5884.54,0.26208,0.34645,0.14657,0.93311,0.9307,0.93471,0.77512,0.23128,0.33953,0.21613,1.89475e-05,1.89475e-05,1.89475e-05
74,5964.67,0.26886,0.35583,0.15048,0.94248,0.92917,0.93877,0.77525,0.23203,0.33874,0.21309,1.77651e-05,1.77651e-05,1.77651e-05
75,6044.62,0.26568,0.34698,0.15171,0.93452,0.93023,0.93582,0.7716,0.23349,0.33971,0.22463,1.66149e-05,1.66149e-05,1.66149e-05
76,6124.88,0.26111,0.34252,0.15088,0.94997,0.92631,0.93938,0.77174,0.23251,0.3426,0.21568,1.54982e-05,1.54982e-05,1.54982e-05
77,6205.13,0.25773,0.34484,0.1493,0.93153,0.93167,0.93615,0.77326,0.23037,0.34254,0.21979,1.44161e-05,1.44161e-05,1.44161e-05
78,6285.61,0.26265,0.34086,0.14981,0.93332,0.93612,0.93972,0.77172,0.2313,0.34246,0.21592,1.33695e-05,1.33695e-05,1.33695e-05
79,6366.65,0.25789,0.33967,0.14448,0.93913,0.92116,0.93674,0.77346,0.23162,0.34447,0.21693,1.23596e-05,1.23596e-05,1.23596e-05
80,6446.81,0.26051,0.34801,0.14662,0.94357,0.92278,0.93523,0.77169,0.22988,0.34299,0.21517,1.13873e-05,1.13873e-05,1.13873e-05
81,6527.18,0.24742,0.33841,0.14217,0.94959,0.91882,0.93733,0.77479,0.2295,0.3422,0.21203,1.04537e-05,1.04537e-05,1.04537e-05
82,6607.82,0.26593,0.34853,0.15361,0.94267,0.92987,0.93812,0.77661,0.22933,0.34494,0.21209,9.55951e-06,9.55951e-06,9.55951e-06
83,6688.11,0.25197,0.33511,0.14007,0.95036,0.92394,0.94255,0.7774,0.23038,0.33857,0.21441,8.70577e-06,8.70577e-06,8.70577e-06
84,6768.16,0.25092,0.34136,0.14093,0.94965,0.92514,0.94382,0.77829,0.22967,0.33676,0.21073,7.89327e-06,7.89327e-06,7.89327e-06
85,6849.87,0.25558,0.33765,0.14322,0.94373,0.92904,0.94492,0.77922,0.22849,0.33916,0.21052,7.12282e-06,7.12282e-06,7.12282e-06
86,6930.71,0.25689,0.34397,0.14427,0.94935,0.92911,0.94247,0.77736,0.22702,0.33321,0.20818,6.39518e-06,6.39518e-06,6.39518e-06
87,7011.68,0.25485,0.33983,0.14483,0.94365,0.92228,0.94464,0.77839,0.22973,0.33413,0.21018,5.71106e-06,5.71106e-06,5.71106e-06
88,7092.33,0.25343,0.34357,0.14304,0.94146,0.92282,0.94306,0.77648,0.23017,0.33374,0.21117,5.07115e-06,5.07115e-06,5.07115e-06
89,7172.96,0.25554,0.33684,0.14324,0.94553,0.92255,0.94162,0.77318,0.22994,0.33991,0.21109,4.47606e-06,4.47606e-06,4.47606e-06
90,7253.8,0.25309,0.33405,0.14307,0.94242,0.92744,0.94692,0.77638,0.22933,0.33731,0.21164,3.9264e-06,3.9264e-06,3.9264e-06
91,7332.57,0.19356,0.26498,0.10973,0.94457,0.92034,0.93796,0.76804,0.23773,0.34546,0.2262,3.4227e-06,3.4227e-06,3.4227e-06
92,7410.82,0.19239,0.26094,0.11146,0.94754,0.91814,0.94027,0.76998,0.23582,0.34421,0.22236,2.96546e-06,2.96546e-06,2.96546e-06
93,7488.98,0.19271,0.26359,0.11219,0.95037,0.91755,0.94061,0.77119,0.23467,0.34001,0.22148,2.55513e-06,2.55513e-06,2.55513e-06
94,7567.26,0.18986,0.25741,0.10874,0.94941,0.9153,0.94077,0.77317,0.23492,0.33625,0.22002,2.19212e-06,2.19212e-06,2.19212e-06
95,7645.6,0.18669,0.25681,0.10697,0.95151,0.91547,0.94172,0.77612,0.23496,0.33392,0.22059,1.87678e-06,1.87678e-06,1.87678e-06
96,7723.75,0.18715,0.25912,0.10802,0.94649,0.92188,0.94173,0.77556,0.23383,0.33644,0.21605,1.60943e-06,1.60943e-06,1.60943e-06
97,7802.76,0.18887,0.25897,0.10762,0.95056,0.92064,0.94181,0.7745,0.23352,0.33593,0.21975,1.39032e-06,1.39032e-06,1.39032e-06
