epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2286.74,1.13824,0.77287,0.01627,0.69127,0.56027,0.6438,0.45017,1.26249,1.44438,0.01297,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,2341.46,1.12006,0.79444,0.01584,0.82011,0.54504,0.7061,0.50673,1.22133,1.26221,0.01246,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,2389.57,1.12133,0.76271,0.01601,0.79596,0.5639,0.6366,0.45421,1.22404,1.37929,0.01246,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,2438.23,1.10833,0.75201,0.0158,0.73374,0.61149,0.68354,0.46694,1.19896,1.33704,0.01237,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,2492.88,1.11639,0.73279,0.01619,0.73874,0.7107,0.73591,0.49919,1.28572,1.38939,0.01351,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,2548.33,1.08545,0.74055,0.01563,0.8954,0.53319,0.73688,0.52769,1.2433,1.35096,0.01269,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,2600.32,1.09111,0.7257,0.01563,0.72919,0.5564,0.67886,0.47815,1.19597,1.23773,0.01274,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,2653.46,1.06639,0.69704,0.01513,0.90801,0.63211,0.7442,0.50871,1.20007,1.11107,0.01271,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,2746.93,1.07949,0.6899,0.01539,0.72135,0.65682,0.70875,0.51183,1.18458,1.30493,0.01236,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,2939.16,1.08032,0.69846,0.01543,0.88935,0.65436,0.75425,0.53982,1.13959,1.29956,0.01164,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,3080.3,1.06675,0.70873,0.01511,0.74485,0.60893,0.6978,0.5018,1.15854,1.19586,0.01233,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,3253.06,1.06108,0.70041,0.01494,0.78311,0.55341,0.70343,0.51838,1.16512,1.25548,0.01169,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,3388.71,1.06204,0.69487,0.01502,0.85185,0.58579,0.69023,0.50982,1.15544,1.47066,0.01194,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,3468.84,1.04785,0.68464,0.01489,0.78938,0.65421,0.70619,0.52081,1.09408,1.29165,0.01144,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,3532.71,1.04248,0.67512,0.01482,0.68219,0.64987,0.71003,0.50318,1.15252,1.2334,0.01268,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,3582.62,1.04168,0.66611,0.01453,0.80258,0.58257,0.72039,0.53412,1.14046,1.16775,0.01169,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,3625.54,1.03783,0.65493,0.0147,0.69905,0.60402,0.68733,0.49509,1.16128,1.2635,0.01249,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,3671.33,1.037,0.64743,0.01468,0.87179,0.67699,0.74493,0.52718,1.15846,1.18438,0.01187,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,3725.63,1.0245,0.63509,0.01443,0.86924,0.57191,0.71934,0.52213,1.09556,1.06034,0.01117,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,3777.71,1.0309,0.64894,0.0148,0.72207,0.70166,0.72917,0.52321,1.10981,1.19337,0.01137,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,3830.18,1.00728,0.6407,0.01411,0.74759,0.67658,0.70231,0.50317,1.13692,1.28021,0.01185,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,3883.01,1.01133,0.62662,0.01429,0.80797,0.6922,0.78186,0.54946,1.13805,1.15435,0.012,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
