epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45.9347,1.25682,4.91939,0.01663,0.7838,0.08639,0.29015,0.15713,1.59487,3.06766,0.01999,0.0261,0.0087,0.0261,0.0087,0.0261,0.0087,0.0261,0.0087
2,75.7713,1.49495,1.98161,0.02108,0.53198,0.49833,0.47258,0.25204,1.70362,2.39167,0.0223,0.0299967,0.00999891,0.0299967,0.00999891,0.0299967,0.00999891,0.0299967,0.00999891
3,105.632,1.50848,1.63462,0.02129,0.58899,0.47333,0.50993,0.20979,2.08099,2.0852,0.02768,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
4,135.683,1.48035,1.53389,0.02064,0.64898,0.63166,0.65644,0.38924,1.44912,1.69794,0.01795,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,166.938,1.45076,1.34312,0.01994,0.64695,0.53089,0.58366,0.3263,1.75389,1.73571,0.02173,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,197.662,1.41568,1.29246,0.0194,0.73707,0.68064,0.72006,0.38348,1.7408,1.24469,0.0215,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,228.605,1.40854,1.26934,0.01982,0.56927,0.48867,0.46862,0.22562,1.93441,2.01662,0.02468,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,259.206,1.39703,1.22597,0.01924,0.80413,0.68627,0.77305,0.49315,1.36982,1.13857,0.01773,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,290.275,1.3843,1.19376,0.0189,0.67823,0.73038,0.74372,0.41769,1.62126,1.30659,0.01915,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,320.895,1.3535,1.13064,0.01839,0.76403,0.70747,0.75373,0.48942,1.28719,1.0826,0.01553,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,351.605,1.34197,1.11298,0.01796,0.81649,0.71585,0.80144,0.516,1.31381,1.02268,0.01566,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
