epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1874,1.25484,2.31028,1.5145,0.64535,0.58988,0.61845,0.39476,1.23871,2.01826,1.60177,0.00047473,0.00047473,0.00047473
2,102.801,1.335,1.72105,1.56422,0.69416,0.63,0.6707,0.40339,1.34468,1.65845,1.65274,0.000932232,0.000932232,0.000932232
3,145.466,1.34744,1.52953,1.55606,0.74702,0.70354,0.72142,0.43814,1.34842,1.32938,1.63909,0.00137087,0.00137087,0.00137087
4,197.901,1.32931,1.42757,1.55046,0.75354,0.64896,0.67532,0.43584,1.27557,1.57153,1.63593,0.00134412,0.00134412,0.00134412
5,252.363,1.28071,1.31568,1.52186,0.75721,0.79764,0.79373,0.50448,1.21443,1.14492,1.54845,0.00131582,0.00131582,0.00131582
6,298.685,1.23957,1.22588,1.48445,0.87791,0.75451,0.83367,0.56462,1.22336,1.02735,1.53493,0.00128753,0.00128753,0.00128753
7,342.803,1.20437,1.15269,1.46074,0.82821,0.74804,0.77926,0.53443,1.0938,1.05639,1.43413,0.00125923,0.00125923,0.00125923
8,385.727,1.19929,1.13932,1.45193,0.81629,0.82429,0.80547,0.55112,1.12222,1.0437,1.42763,0.00123094,0.00123094,0.00123094
9,429.255,1.15579,1.06453,1.42159,0.86917,0.8523,0.86571,0.60323,1.09099,0.83583,1.41039,0.00120265,0.00120265,0.00120265
10,472.211,1.13426,1.01737,1.40601,0.83074,0.77706,0.81367,0.57285,1.08274,0.92957,1.40552,0.00117435,0.00117435,0.00117435
11,515.017,1.10515,0.99225,1.38442,0.81631,0.78759,0.84016,0.579,1.04666,1.02079,1.4164,0.00114606,0.00114606,0.00114606
12,558.378,1.10251,0.96603,1.37889,0.89942,0.83792,0.88773,0.65232,1.04582,0.78255,1.38708,0.00111776,0.00111776,0.00111776
13,601.481,1.09041,0.93968,1.3673,0.90539,0.79973,0.89878,0.65071,1.00206,0.77928,1.37941,0.00108947,0.00108947,0.00108947
14,644.891,1.07874,0.90875,1.36553,0.85276,0.89287,0.89559,0.64069,0.98396,0.74867,1.3503,0.00106118,0.00106118,0.00106118
15,687.692,1.06514,0.89563,1.35544,0.85762,0.89409,0.88522,0.6294,1.00282,0.71337,1.34842,0.00103288,0.00103288,0.00103288
16,729.948,1.03726,0.87706,1.33373,0.83356,0.83282,0.85059,0.62533,1.02097,0.8921,1.39276,0.00100459,0.00100459,0.00100459
17,772.414,1.04039,0.86681,1.33405,0.87232,0.8711,0.90363,0.67138,0.97139,0.71099,1.31462,0.000976293,0.000976293,0.000976293
18,816.518,1.04277,0.8588,1.33585,0.84407,0.8431,0.88308,0.62824,1.03424,0.73597,1.38173,0.000947999,0.000947999,0.000947999
19,859.052,1.01787,0.8271,1.317,0.87667,0.89072,0.89408,0.63917,0.97416,0.66229,1.33962,0.000919704,0.000919704,0.000919704
20,902.033,0.99064,0.8034,1.2999,0.8799,0.91896,0.91845,0.68145,0.92275,0.65644,1.29928,0.00089141,0.00089141,0.00089141
21,946.252,0.99444,0.79747,1.30827,0.91083,0.89292,0.91034,0.68796,0.94891,0.69706,1.28281,0.000863116,0.000863116,0.000863116
22,988.954,0.98052,0.78075,1.29163,0.89846,0.87413,0.9118,0.7084,0.8713,0.65153,1.24008,0.000834822,0.000834822,0.000834822
23,1032.94,0.97239,0.75966,1.2877,0.88866,0.87926,0.90937,0.70062,0.90266,0.6311,1.25942,0.000806528,0.000806528,0.000806528
