epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.234,1.05052,6.91451,0.01266,0.00393,0.84799,0.24247,0.16591,0.83101,6.19676,0.01229,0.000575,0.000575,0.000575
2,38.6062,1.20458,5.02009,0.01465,0.65301,0.24198,0.36713,0.22546,1.15719,4.74941,0.01906,0.00116237,0.00116237,0.00116237
3,49.7089,1.29858,3.21792,0.01607,0.358,0.3739,0.32718,0.18907,1.42065,2.19387,0.02666,0.00124946,0.00124946,0.00124946
4,60.2542,1.30418,2.23744,0.01649,0.58172,0.55329,0.60874,0.37031,1.36523,1.50459,0.02428,0.00124878,0.00124878,0.00124878
5,71.3257,1.29015,1.87006,0.01653,0.68531,0.50065,0.61191,0.39619,1.2645,1.6015,0.0218,0.00124783,0.00124783,0.00124783
6,82.7052,1.2576,1.66894,0.01583,0.72684,0.64501,0.70252,0.45552,1.28683,1.29453,0.02224,0.00124661,0.00124661,0.00124661
7,94.7884,1.23982,1.52363,0.01542,0.71134,0.59964,0.67257,0.45339,1.16695,1.36143,0.01969,0.00124512,0.00124512,0.00124512
8,106.359,1.25075,1.45603,0.01503,0.65737,0.63043,0.68409,0.44748,1.25996,1.2718,0.02136,0.00124336,0.00124336,0.00124336
9,118.305,1.25424,1.38811,0.01525,0.77926,0.66443,0.74281,0.45423,1.3952,1.30396,0.02372,0.00124134,0.00124134,0.00124134
10,129.602,1.24597,1.33506,0.01526,0.71606,0.69226,0.75483,0.48211,1.35353,1.14468,0.0225,0.00123904,0.00123904,0.00123904
11,140.868,1.21477,1.26324,0.01514,0.77532,0.73028,0.80598,0.51704,1.29449,1.06358,0.02144,0.00123648,0.00123648,0.00123648
12,151.849,1.21693,1.21786,0.01514,0.75891,0.68062,0.76383,0.48563,1.32571,1.2476,0.02329,0.00123365,0.00123365,0.00123365
13,163.19,1.19666,1.20094,0.01506,0.74743,0.70629,0.77447,0.48534,1.37477,1.05049,0.02426,0.00123056,0.00123056,0.00123056
14,174.683,1.20259,1.15068,0.01493,0.82829,0.78275,0.85957,0.5868,1.14702,0.82569,0.01977,0.00122721,0.00122721,0.00122721
15,185.491,1.18425,1.14861,0.01432,0.80085,0.75345,0.83752,0.60673,1.03743,0.83643,0.01712,0.00122359,0.00122359,0.00122359
16,196.221,1.19018,1.13652,0.01442,0.77226,0.77903,0.8306,0.52459,1.3106,0.9676,0.02423,0.00121972,0.00121972,0.00121972
17,206.933,1.18529,1.08253,0.01433,0.81605,0.75197,0.86405,0.59101,1.13674,0.8157,0.01891,0.00121558,0.00121558,0.00121558
18,217.464,1.16047,1.11087,0.01417,0.7333,0.76885,0.8006,0.51287,1.33562,0.94158,0.02187,0.00121119,0.00121119,0.00121119
19,227.995,1.16904,1.08038,0.01383,0.77474,0.78133,0.83914,0.59718,1.0825,0.85507,0.01802,0.00120655,0.00120655,0.00120655
20,238.695,1.1762,1.07361,0.01414,0.82206,0.84488,0.89116,0.57899,1.2586,0.76605,0.022,0.00120165,0.00120165,0.00120165
21,249.146,1.1519,1.05708,0.01394,0.83612,0.81656,0.86922,0.57825,1.22612,0.81664,0.0205,0.00119651,0.00119651,0.00119651
22,259.592,1.13336,1.01657,0.01365,0.8149,0.81816,0.86674,0.60971,1.15595,0.80864,0.01862,0.00119111,0.00119111,0.00119111
23,270.188,1.15287,1.05939,0.0139,0.82502,0.83602,0.90049,0.64827,1.07338,0.6686,0.01705,0.00118547,0.00118547,0.00118547
24,280.699,1.1518,1.0272,0.01374,0.82334,0.77948,0.8435,0.61356,1.01914,0.83118,0.0164,0.00117959,0.00117959,0.00117959
25,291.129,1.13179,0.98852,0.01362,0.85033,0.79517,0.86868,0.62564,1.08782,0.73839,0.01797,0.00117346,0.00117346,0.00117346
26,301.702,1.13696,0.97208,0.0139,0.85201,0.803,0.86622,0.61497,1.07591,0.78921,0.01694,0.0011671,0.0011671,0.0011671
27,312.217,1.12287,0.99126,0.01349,0.83783,0.79939,0.88565,0.63366,1.05834,0.70856,0.01808,0.00116051,0.00116051,0.00116051
28,322.641,1.11037,0.9523,0.01328,0.83457,0.74383,0.84685,0.59125,1.11516,0.95017,0.01832,0.00115368,0.00115368,0.00115368
29,333.235,1.10412,0.93304,0.01296,0.81303,0.84606,0.88783,0.62059,1.16022,0.75804,0.01893,0.00114662,0.00114662,0.00114662
30,343.851,1.1214,0.93615,0.01352,0.87381,0.84146,0.91737,0.69042,0.92632,0.64687,0.01532,0.00113934,0.00113934,0.00113934
31,354.608,1.10008,0.92121,0.01333,0.79076,0.82011,0.87747,0.64518,1.00435,0.77869,0.01683,0.00113183,0.00113183,0.00113183
32,365.052,1.09398,0.8903,0.01301,0.8848,0.77944,0.88645,0.66929,0.91321,0.71823,0.01473,0.0011241,0.0011241,0.0011241
33,375.664,1.08152,0.86205,0.01297,0.88005,0.78211,0.88585,0.64747,1.05826,0.71675,0.0176,0.00111616,0.00111616,0.00111616
34,386.371,1.08193,0.87384,0.01276,0.87405,0.86197,0.9184,0.67367,0.98351,0.63089,0.01682,0.00110801,0.00110801,0.00110801
35,396.947,1.08774,0.86121,0.01307,0.88069,0.80344,0.90891,0.65471,1.05097,0.65329,0.01577,0.00109964,0.00109964,0.00109964
36,407.393,1.09367,0.89274,0.01299,0.89905,0.79388,0.90946,0.6837,0.93739,0.65515,0.01634,0.00109107,0.00109107,0.00109107
37,417.927,1.07652,0.85436,0.01302,0.89187,0.84457,0.91196,0.67069,1.02412,0.63952,0.0163,0.0010823,0.0010823,0.0010823
38,428.387,1.05922,0.813,0.01269,0.89911,0.83617,0.91147,0.68514,0.94514,0.61959,0.01537,0.00107333,0.00107333,0.00107333
39,438.784,1.06474,0.8228,0.01261,0.84652,0.86255,0.91266,0.6873,0.93091,0.62344,0.01507,0.00106417,0.00106417,0.00106417
40,449.537,1.05672,0.82967,0.01254,0.8214,0.82597,0.8902,0.6472,1.0544,0.70687,0.01616,0.00105481,0.00105481,0.00105481
41,460.028,1.07191,0.83662,0.01281,0.86404,0.7896,0.89185,0.66117,0.96716,0.71093,0.01599,0.00104527,0.00104527,0.00104527
42,470.549,1.03105,0.77384,0.01178,0.88799,0.87353,0.93071,0.70585,0.9247,0.56619,0.01516,0.00103555,0.00103555,0.00103555
43,481.205,1.05117,0.80602,0.01244,0.88999,0.88769,0.93972,0.71091,0.945,0.53895,0.01545,0.00102566,0.00102566,0.00102566
44,491.637,1.043,0.79129,0.01228,0.925,0.85327,0.93761,0.72262,0.88346,0.52053,0.01408,0.00101559,0.00101559,0.00101559
45,502.157,1.0357,0.77023,0.01227,0.8422,0.82788,0.90248,0.67988,0.94329,0.66208,0.01542,0.00100535,0.00100535,0.00100535
46,512.759,1.02677,0.76991,0.01191,0.88087,0.87928,0.94042,0.71195,0.96611,0.51485,0.01591,0.000994942,0.000994942,0.000994942
47,523.265,1.0204,0.76587,0.01218,0.9044,0.85033,0.92983,0.71683,0.92301,0.55437,0.01474,0.000984379,0.000984379,0.000984379
48,533.834,1.00747,0.76094,0.01174,0.87647,0.85707,0.92213,0.70184,0.93982,0.59867,0.01564,0.000973661,0.000973661,0.000973661
49,544.435,1.01581,0.75441,0.012,0.87774,0.86594,0.93285,0.72981,0.87524,0.53212,0.01359,0.000962793,0.000962793,0.000962793
50,554.894,1.01865,0.76627,0.01205,0.88456,0.86318,0.92302,0.72298,0.84764,0.55147,0.01313,0.000951779,0.000951779,0.000951779
51,565.411,1.00814,0.74136,0.01201,0.92665,0.86417,0.93009,0.72242,0.88364,0.56209,0.0144,0.000940625,0.000940625,0.000940625
52,575.998,1.01993,0.72701,0.01164,0.90146,0.87549,0.9355,0.69902,1.0036,0.52442,0.01582,0.000929335,0.000929335,0.000929335
53,586.546,1.03288,0.72529,0.01206,0.89753,0.85561,0.92358,0.71846,0.88159,0.59688,0.01488,0.000917914,0.000917914,0.000917914
54,597.097,1.00416,0.71432,0.01157,0.88712,0.87274,0.92118,0.70938,0.90456,0.56249,0.01584,0.000906368,0.000906368,0.000906368
55,607.605,0.98865,0.70162,0.0117,0.90372,0.88285,0.93903,0.72797,0.85815,0.51883,0.01388,0.000894701,0.000894701,0.000894701
56,618.15,1.00501,0.71284,0.0117,0.87032,0.90102,0.92574,0.72712,0.84617,0.57383,0.01333,0.000882918,0.000882918,0.000882918
57,628.895,0.99397,0.7122,0.01172,0.92203,0.88171,0.949,0.74444,0.86335,0.47413,0.01432,0.000871025,0.000871025,0.000871025
58,639.456,0.97883,0.6889,0.01156,0.86482,0.91617,0.94063,0.73504,0.88161,0.49297,0.01379,0.000859027,0.000859027,0.000859027
59,650.062,0.98944,0.69489,0.01148,0.88164,0.91271,0.93968,0.73795,0.85302,0.5062,0.01266,0.000846929,0.000846929,0.000846929
60,660.795,0.98903,0.66359,0.01179,0.86549,0.88059,0.93164,0.73188,0.8687,0.53219,0.01358,0.000834736,0.000834736,0.000834736
61,671.24,0.97368,0.67056,0.01116,0.91078,0.88677,0.93722,0.73544,0.84671,0.51856,0.01316,0.000822454,0.000822454,0.000822454
62,681.935,0.98127,0.67168,0.01123,0.88724,0.89016,0.94144,0.7408,0.82351,0.4987,0.01246,0.000810088,0.000810088,0.000810088
63,692.421,0.96682,0.66543,0.01116,0.90583,0.91261,0.94746,0.72741,0.89363,0.5159,0.01365,0.000797644,0.000797644,0.000797644
64,702.738,0.9579,0.63552,0.0111,0.90431,0.90025,0.93759,0.73732,0.85416,0.56487,0.01416,0.000785127,0.000785127,0.000785127
65,713.107,0.9668,0.62402,0.0108,0.90221,0.89446,0.94665,0.74487,0.84816,0.50785,0.0132,0.000772542,0.000772542,0.000772542
66,724.169,0.94914,0.63141,0.01093,0.91658,0.88956,0.94664,0.75077,0.81588,0.48984,0.01225,0.000759895,0.000759895,0.000759895
67,734.686,0.95308,0.65161,0.01098,0.90634,0.87542,0.93678,0.74765,0.79611,0.50676,0.01252,0.000747192,0.000747192,0.000747192
68,745.259,0.96256,0.66486,0.01117,0.89731,0.8924,0.93389,0.74997,0.79772,0.53431,0.01222,0.000734438,0.000734438,0.000734438
69,755.917,0.95123,0.62925,0.01075,0.89363,0.89194,0.94359,0.75301,0.80984,0.53246,0.01258,0.000721639,0.000721639,0.000721639
70,766.56,0.96522,0.62158,0.01152,0.93538,0.88619,0.94828,0.74143,0.88804,0.49282,0.01405,0.0007088,0.0007088,0.0007088
71,777.07,0.93549,0.60141,0.0109,0.92393,0.88787,0.94698,0.75867,0.79175,0.47851,0.0122,0.000695927,0.000695927,0.000695927
72,787.628,0.94528,0.62959,0.01083,0.90401,0.91638,0.95036,0.75996,0.80485,0.48411,0.01231,0.000683026,0.000683026,0.000683026
73,798.093,0.95406,0.64403,0.01075,0.92764,0.92166,0.95506,0.76263,0.78309,0.46148,0.01202,0.000670102,0.000670102,0.000670102
74,808.554,0.93172,0.62718,0.01086,0.90893,0.9143,0.95201,0.77212,0.76755,0.44137,0.01136,0.000657161,0.000657161,0.000657161
75,819.181,0.9331,0.60362,0.01068,0.94045,0.8812,0.94633,0.76621,0.78037,0.48749,0.0117,0.000644208,0.000644208,0.000644208
76,829.773,0.91649,0.60084,0.01039,0.90042,0.90244,0.94987,0.77116,0.76651,0.50258,0.01199,0.00063125,0.00063125,0.00063125
77,840.268,0.91278,0.58454,0.01066,0.90782,0.9087,0.95065,0.7713,0.76726,0.47612,0.01149,0.000618292,0.000618292,0.000618292
78,850.804,0.91957,0.58218,0.01063,0.90253,0.90021,0.93966,0.75662,0.78297,0.50645,0.01194,0.000605339,0.000605339,0.000605339
79,861.287,0.92061,0.60015,0.01071,0.93299,0.9046,0.95462,0.77606,0.76428,0.46459,0.01134,0.000592398,0.000592398,0.000592398
80,871.702,0.91559,0.59205,0.01001,0.94068,0.9039,0.95179,0.76969,0.76397,0.46917,0.01207,0.000579474,0.000579474,0.000579474
81,882.274,0.9057,0.59224,0.01009,0.92457,0.90921,0.95032,0.76451,0.79026,0.46069,0.01204,0.000566573,0.000566573,0.000566573
82,892.745,0.9209,0.60393,0.0104,0.92018,0.93149,0.95546,0.77352,0.77231,0.44508,0.01163,0.0005537,0.0005537,0.0005537
83,903.307,0.90745,0.56184,0.01033,0.9354,0.92166,0.95502,0.77477,0.78401,0.44021,0.01218,0.000540861,0.000540861,0.000540861
84,913.884,0.88232,0.55648,0.01016,0.94659,0.91394,0.95991,0.78051,0.77319,0.43719,0.01167,0.000528062,0.000528062,0.000528062
85,924.42,0.88922,0.59654,0.01022,0.94078,0.91765,0.94936,0.77429,0.7666,0.46299,0.01159,0.000515308,0.000515308,0.000515308
86,934.955,0.89126,0.58044,0.01014,0.92137,0.9263,0.9567,0.77724,0.7886,0.42912,0.01215,0.000502605,0.000502605,0.000502605
87,945.411,0.89329,0.56595,0.01005,0.91717,0.91899,0.95505,0.77541,0.76746,0.45974,0.01158,0.000489958,0.000489958,0.000489958
88,955.853,0.90305,0.56689,0.01034,0.92398,0.92423,0.96015,0.77792,0.77483,0.45508,0.01193,0.000477373,0.000477373,0.000477373
89,966.306,0.87935,0.54014,0.00976,0.91973,0.91776,0.95279,0.78278,0.76085,0.43005,0.01169,0.000464856,0.000464856,0.000464856
