epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,709.646,1.06309,0.77952,0.01259,0.91089,0.84171,0.92565,0.70074,0.91869,0.59434,0.0151,0.00103555,0.00103555,0.00103555
43,726.318,1.05137,0.78022,0.01304,0.8679,0.85702,0.91095,0.6854,0.96405,0.61541,0.01635,0.00102566,0.00102566,0.00102566
44,742.991,1.05859,0.77507,0.01282,0.89892,0.89369,0.93751,0.71218,0.91184,0.53853,0.01474,0.00101559,0.00101559,0.00101559
45,759.486,1.04375,0.72488,0.0127,0.88336,0.8829,0.92053,0.70039,0.90044,0.58212,0.01423,0.00100535,0.00100535,0.00100535
46,776.09,1.05013,0.74454,0.01261,0.86763,0.86084,0.93022,0.70696,0.93188,0.55589,0.01489,0.000994942,0.000994942,0.000994942
47,792.8,1.04368,0.72119,0.01233,0.91796,0.85035,0.93433,0.70748,0.93879,0.57737,0.01529,0.000984379,0.000984379,0.000984379
48,809.338,1.04892,0.7599,0.01214,0.86044,0.904,0.93225,0.72583,0.86816,0.51977,0.01445,0.000973661,0.000973661,0.000973661
49,825.977,1.01444,0.69816,0.01222,0.91723,0.89383,0.93889,0.72497,0.89205,0.54083,0.01474,0.000962793,0.000962793,0.000962793
50,842.498,1.01994,0.71995,0.01253,0.89667,0.87487,0.93082,0.72655,0.86674,0.53424,0.01374,0.000951779,0.000951779,0.000951779
51,859,1.01468,0.73033,0.01218,0.91092,0.91494,0.9529,0.73686,0.89595,0.47838,0.01459,0.000940625,0.000940625,0.000940625
52,875.54,1.0047,0.68367,0.01194,0.90599,0.87775,0.94631,0.72003,0.94789,0.51216,0.01609,0.000929335,0.000929335,0.000929335
53,892.104,1.00757,0.70527,0.01222,0.90872,0.90076,0.94372,0.75102,0.82617,0.47458,0.0132,0.000917914,0.000917914,0.000917914
54,908.66,1.01524,0.69542,0.01215,0.87918,0.8941,0.93257,0.73703,0.84807,0.51698,0.01354,0.000906368,0.000906368,0.000906368
55,925.142,0.97945,0.65145,0.01194,0.91195,0.87726,0.93931,0.73444,0.85904,0.51388,0.01414,0.000894701,0.000894701,0.000894701
56,941.584,1.00206,0.70559,0.01187,0.88645,0.88466,0.93758,0.74271,0.80978,0.51968,0.0128,0.000882918,0.000882918,0.000882918
57,958.135,0.98135,0.66537,0.01155,0.88022,0.89328,0.94016,0.74585,0.84187,0.51023,0.01359,0.000871025,0.000871025,0.000871025
58,974.651,0.98547,0.64969,0.01188,0.89943,0.92083,0.94958,0.73308,0.91213,0.49643,0.01477,0.000859027,0.000859027,0.000859027
59,991.22,0.9835,0.64685,0.01157,0.90953,0.87449,0.93019,0.7147,0.87943,0.56447,0.01456,0.000846929,0.000846929,0.000846929
60,1007.76,0.96998,0.65328,0.01161,0.91941,0.8996,0.95134,0.75597,0.83288,0.47129,0.01332,0.000834736,0.000834736,0.000834736
61,1024.39,0.96879,0.63501,0.01167,0.91301,0.91507,0.95092,0.7466,0.83903,0.46354,0.01358,0.000822454,0.000822454,0.000822454
62,1041.06,0.96525,0.64177,0.01126,0.91784,0.92475,0.95534,0.77128,0.79013,0.43971,0.01225,0.000810088,0.000810088,0.000810088
63,1057.61,0.95355,0.64398,0.01115,0.9168,0.91297,0.95091,0.74739,0.83578,0.46512,0.01319,0.000797644,0.000797644,0.000797644
64,1073.99,0.94803,0.61629,0.01109,0.93069,0.89587,0.9514,0.75241,0.82367,0.4541,0.0129,0.000785127,0.000785127,0.000785127
65,1090.52,0.97084,0.60863,0.01142,0.93484,0.90225,0.95717,0.76674,0.83619,0.44319,0.01258,0.000772542,0.000772542,0.000772542
66,1107.12,0.94874,0.60447,0.01106,0.90308,0.92793,0.94523,0.75055,0.81522,0.44695,0.01291,0.000759895,0.000759895,0.000759895
67,1123.63,0.95476,0.63515,0.01112,0.88817,0.91189,0.9469,0.76617,0.80186,0.4566,0.01299,0.000747192,0.000747192,0.000747192
68,1140.09,0.94537,0.5956,0.01104,0.9147,0.93494,0.96421,0.76208,0.83569,0.4027,0.01303,0.000734438,0.000734438,0.000734438
69,1156.61,0.92243,0.60274,0.01078,0.92974,0.90239,0.95983,0.77489,0.79619,0.41901,0.0126,0.000721639,0.000721639,0.000721639
70,1173.12,0.93943,0.60645,0.01113,0.90754,0.9084,0.9524,0.76516,0.79808,0.46757,0.01223,0.0007088,0.0007088,0.0007088
71,1189.5,0.94104,0.5997,0.01108,0.9357,0.91998,0.96059,0.78133,0.77292,0.40379,0.01184,0.000695927,0.000695927,0.000695927
72,1206.19,0.9171,0.61288,0.01094,0.94922,0.91156,0.96029,0.77838,0.78511,0.41295,0.01217,0.000683026,0.000683026,0.000683026
73,1222.78,0.94077,0.60816,0.01079,0.90564,0.93133,0.95517,0.75666,0.81301,0.45013,0.01288,0.000670102,0.000670102,0.000670102
74,1239.33,0.90978,0.57686,0.01061,0.96219,0.89438,0.95831,0.77635,0.77795,0.41118,0.01188,0.000657161,0.000657161,0.000657161
75,1256.01,0.89608,0.56496,0.01051,0.92673,0.92486,0.95611,0.77266,0.78811,0.41765,0.01215,0.000644208,0.000644208,0.000644208
76,1272.87,0.91179,0.55572,0.0105,0.93726,0.91221,0.95095,0.76865,0.78528,0.44558,0.01202,0.00063125,0.00063125,0.00063125
77,1289.59,0.91219,0.56214,0.01067,0.91375,0.9318,0.95192,0.772,0.78133,0.43564,0.01249,0.000618292,0.000618292,0.000618292
