epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1205,1.31678,1.78529,1.55173,0.5931,0.51804,0.49741,0.29009,1.58948,1.91163,2.06144,0.00047473,0.00047473,0.00047473
2,109.496,1.46066,1.62348,1.67227,0.69681,0.56567,0.61731,0.36152,1.51553,1.8175,1.78059,0.000932232,0.000932232,0.000932232
3,158.815,1.43268,1.55328,1.63659,0.57646,0.54578,0.55445,0.31594,1.62125,1.86416,1.95077,0.00137087,0.00137087,0.00137087
4,206.254,1.38634,1.46267,1.60695,0.80442,0.6561,0.70622,0.43452,1.46383,1.34097,1.80455,0.00134412,0.00134412,0.00134412
5,254.234,1.34148,1.3729,1.57034,0.68244,0.67001,0.70583,0.42782,1.36246,1.30587,1.66254,0.00131582,0.00131582,0.00131582
6,301.19,1.30652,1.28785,1.5375,0.83561,0.77624,0.78633,0.52326,1.2166,1.04174,1.53687,0.00128753,0.00128753,0.00128753
7,349.287,1.25543,1.19076,1.49644,0.854,0.75488,0.82868,0.56277,1.148,0.93091,1.46992,0.00125923,0.00125923,0.00125923
8,395.98,1.23335,1.17192,1.47764,0.8332,0.74857,0.8056,0.53708,1.18738,0.99126,1.53763,0.00123094,0.00123094,0.00123094
9,443.379,1.20322,1.10578,1.46443,0.75903,0.7454,0.74967,0.51159,1.17496,1.03639,1.49597,0.00120265,0.00120265,0.00120265
10,489.657,1.15889,1.04466,1.41763,0.84474,0.80865,0.84545,0.5938,1.08211,0.88585,1.44207,0.00117435,0.00117435,0.00117435
11,536.495,1.14303,1.00824,1.40325,0.84209,0.84355,0.84096,0.5786,1.05716,0.83133,1.43768,0.00114606,0.00114606,0.00114606
12,583.411,1.13312,0.99221,1.40727,0.85431,0.84915,0.88606,0.60746,1.10862,0.80084,1.41251,0.00111776,0.00111776,0.00111776
13,631.129,1.1106,0.96297,1.39275,0.86312,0.87984,0.88545,0.62964,1.09759,0.77641,1.43822,0.00108947,0.00108947,0.00108947
14,677.24,1.09606,0.94634,1.38682,0.91248,0.87307,0.89401,0.64524,1.00233,0.69381,1.35686,0.00106118,0.00106118,0.00106118
15,724.646,1.0612,0.91822,1.35563,0.87554,0.82375,0.85844,0.62004,1.02991,0.7633,1.40949,0.00103288,0.00103288,0.00103288
16,770.925,1.0584,0.89679,1.34362,0.89804,0.83632,0.90041,0.64499,1.00379,0.70779,1.37494,0.00100459,0.00100459,0.00100459
17,818.076,1.04219,0.86672,1.33594,0.89141,0.84419,0.89049,0.65936,0.95551,0.70651,1.34807,0.000976293,0.000976293,0.000976293
18,864.833,1.03218,0.84725,1.34049,0.83565,0.89036,0.89993,0.64391,1.01376,0.73626,1.38663,0.000947999,0.000947999,0.000947999
19,911.823,1.04439,0.83906,1.33951,0.9341,0.87043,0.91094,0.65212,1.00607,0.65389,1.37929,0.000919704,0.000919704,0.000919704
20,958.984,1.00378,0.81766,1.31075,0.90608,0.90704,0.9205,0.69657,0.92735,0.64213,1.27955,0.00089141,0.00089141,0.00089141
21,1006.46,1.00689,0.80259,1.31041,0.87478,0.91889,0.91812,0.68483,0.93949,0.6114,1.30344,0.000863116,0.000863116,0.000863116
22,1052.61,0.98796,0.79546,1.30661,0.91172,0.88772,0.91817,0.68413,0.93688,0.65634,1.31493,0.000834822,0.000834822,0.000834822
23,1099.73,0.99606,0.78855,1.30713,0.88607,0.90455,0.92433,0.67572,0.94301,0.63176,1.31708,0.000806528,0.000806528,0.000806528
24,1146.06,0.96959,0.77055,1.28955,0.91679,0.90096,0.92691,0.68259,0.94025,0.57948,1.31967,0.000778233,0.000778233,0.000778233
25,1193.73,0.9614,0.73951,1.28584,0.90263,0.95334,0.93294,0.69565,0.90401,0.56822,1.27234,0.000749939,0.000749939,0.000749939
26,1239.69,0.94965,0.75041,1.27679,0.90898,0.93556,0.92965,0.71274,0.88316,0.55526,1.25632,0.000721645,0.000721645,0.000721645
27,1285.86,0.93971,0.73268,1.27078,0.90454,0.94442,0.92353,0.70051,0.89371,0.57384,1.29419,0.000693351,0.000693351,0.000693351
28,1332.54,0.92686,0.70431,1.25824,0.91817,0.92059,0.93043,0.70871,0.8814,0.53934,1.2815,0.000665057,0.000665057,0.000665057
29,1379.93,0.91189,0.69958,1.2521,0.89928,0.91887,0.92207,0.69257,0.89575,0.59342,1.29687,0.000636762,0.000636762,0.000636762
30,1426.11,0.90391,0.6849,1.24533,0.89894,0.91079,0.92977,0.72174,0.90071,0.56149,1.27664,0.000608468,0.000608468,0.000608468
31,1473.16,0.89969,0.67644,1.24457,0.91333,0.91643,0.93105,0.71893,0.87753,0.54797,1.25858,0.000580174,0.000580174,0.000580174
32,1519.97,0.88995,0.67245,1.23153,0.87919,0.91302,0.92408,0.71936,0.84605,0.59021,1.22262,0.00055188,0.00055188,0.00055188
33,1566.88,0.87783,0.66482,1.22878,0.89507,0.94352,0.93328,0.7275,0.85591,0.52696,1.22599,0.000523586,0.000523586,0.000523586
34,1613.66,0.87406,0.65701,1.22877,0.88812,0.94302,0.93232,0.72405,0.85505,0.52516,1.23935,0.000495291,0.000495291,0.000495291
35,1660.18,0.85932,0.64181,1.21303,0.91469,0.95523,0.94579,0.73551,0.83731,0.5094,1.22082,0.000466997,0.000466997,0.000466997
36,1707.8,0.8489,0.63683,1.20836,0.89179,0.91382,0.91999,0.71205,0.88505,0.56147,1.25172,0.000438703,0.000438703,0.000438703
37,1754.7,0.8387,0.60875,1.20051,0.90569,0.91508,0.92641,0.72888,0.83543,0.5459,1.22663,0.000410409,0.000410409,0.000410409
38,1803.02,0.82914,0.61229,1.19125,0.91965,0.9392,0.93406,0.72293,0.85786,0.53181,1.24033,0.000382115,0.000382115,0.000382115
39,1850.05,0.82516,0.59256,1.1942,0.91558,0.9182,0.93215,0.74166,0.84559,0.52824,1.23996,0.00035382,0.00035382,0.00035382
40,1897.24,0.81062,0.58599,1.18067,0.91769,0.93502,0.92692,0.73276,0.84874,0.49973,1.24861,0.000325526,0.000325526,0.000325526
41,1940.62,0.70331,0.40984,1.14783,0.90509,0.91044,0.92557,0.73341,0.85145,0.55509,1.2346,0.000297232,0.000297232,0.000297232
42,1984.62,0.68492,0.38946,1.13566,0.91495,0.94332,0.94013,0.73751,0.83467,0.51552,1.24511,0.000268938,0.000268938,0.000268938
43,2028.09,0.66387,0.3773,1.12407,0.91079,0.94394,0.93923,0.73739,0.84369,0.49554,1.24046,0.000240644,0.000240644,0.000240644
44,2073.24,0.64742,0.36604,1.10458,0.91221,0.9418,0.93774,0.73705,0.85437,0.50022,1.24776,0.000212349,0.000212349,0.000212349
45,2117.71,0.63571,0.34958,1.0953,0.91604,0.92392,0.93962,0.73502,0.85631,0.50584,1.26224,0.000184055,0.000184055,0.000184055
46,2161.8,0.621,0.34256,1.08826,0.91717,0.93151,0.93968,0.74461,0.82452,0.47913,1.22387,0.000155761,0.000155761,0.000155761
47,2206.92,0.60681,0.3393,1.07832,0.90536,0.94386,0.943,0.74162,0.84288,0.47363,1.24672,0.000127467,0.000127467,0.000127467
48,2250.99,0.59337,0.33325,1.06549,0.91638,0.92236,0.93841,0.74174,0.86179,0.48977,1.25556,9.91726e-05,9.91726e-05,9.91726e-05
49,2295.6,0.57845,0.32362,1.05693,0.92256,0.92632,0.94174,0.74186,0.85315,0.48823,1.25908,7.08784e-05,7.08784e-05,7.08784e-05
50,2339.43,0.57047,0.31914,1.0512,0.91625,0.93844,0.94149,0.74826,0.84305,0.49078,1.25069,4.25842e-05,4.25842e-05,4.25842e-05
